video_id,video_duration_seconds
irDToH4YXzM,3527.0
IYoJIZxczQ8,4341.0
Her-XWTwITw,149.0
51XUamS9o_A,504.0
Oq8s3paqUYM,1755.0
cjINGeO9kT8,116.0
iT0_qao7FK8,2534.0
bJaJ6WsD-Ec,459.0
DjgBAwmKhCM,106.0
gIOQOyCOFt0,293.0
v-14Ep_GX1E,219.0
Twit5c9y3X0,500.0
Qz0F-ZOIfJo,275.0
jC1jaMD3Mfk,2173.0
RBi6FYimBEg,904.0
lBTZcn-Zplk,812.0
EIKOfCHwNzQ,918.0
zHoIIdBvuuo,852.0
RvYkeTmM1gc,702.0
qTQeb4cS3fk,792.0
wykbxHM2Ch4,2443.0
WDZwXuN7s2c,595.0
OSCloo6bKgQ,582.0
HRMkBANeXkY,1304.0
7psLrfDiiY0,1062.0
-Aod3YCLKDs,486.0
9v92bT0N-Z4,38.0
FZSZ1mcHn3E,278.0
bX9R2HYnDGI,369.0
Nw0fF2AF94o,216.0
ubRtWK4zDB0,208.0
e-fHhR2gNuE,72.0
B5S2xQU4BQk,201.0
0GVQX3D3V5c,236.0
u11mR7uaFcg,1128.0
GmoVXwGpDbE,975.0
P2qDOxhuv5E,1339.0
Oacglx5MXjQ,1371.0
gx4dydTMsC0,1299.0
xGd_HhPYX4A,1150.0
DYBq2h6duBM,2009.0
Oyfibv48kgM,934.0
TUSxsrbrtV8,264.0
f87VM-FlVLg,36.0
RMUMeBb7xss,1187.0
H18xNOjobMo,552.0
5W3RWnqkD14,254.0
98x4g6otC5o,702.0
3ltjFfSj8T4,222.0
DWe6oBTJPWU,524.0
5aHRszNVLSE,1134.0
18lUDC49qTs,2593.0
RzjVJcaidAg,505.0
FIE6x2dESyU,155.0
S1OD8mn-q6w,1651.0
9veqN0Xs0Yo,1092.0
501AIKMrDwg,1230.0
CnGwJE9qjPU,1174.0
tTEImzAeI9E,333.0
ngUv4Iom13g,232.0
pShb_T_mpPU,333.0
MMWqi504SLI,689.0
U4cQHVkYHhA,156.0
4NwQi0ENPl4,1079.0
PXT2vGUL9Vc,34.0
qSj5lSGBjQk,268.0
4ai00NGSFsQ,212.0
PfmgM_yQuQU,640.0
MWAnq0xz8S8,1253.0
3L1y-dtUX8I,786.0
HMPPGuWmvfw,31.0
3HtByFgLTfk,648.0
KfFbnOXWt4A,184.0
mvOSrSIJAWc,884.0
Kf9oHJJbyzo,269.0
-emTyzjwlyY,1834.0
YxWlaYCA8MU,203.0
8lfcYIKhhBI,759.0
qtbMZTzmwQE,3062.0
qkuk2dGvIXQ,612.0
Lw11s1yjG4Y,656.0
Q9O_ZlW2YmE,27.0
FQuNf5FXrJw,703.0
ZhRcgDrcCCM,754.0
22IbvRzRfoA,382.0
Xgfw7wmEm40,1382.0
pT2DtWM4Oo8,485.0
kFxt7tuZhDs,1060.0
