video_id,trending_status,video_duration_minutes,log_prior_trending_count,publish_day,publish_hour,log_video_duration_minutes,title_length,title_sentiment_compound,title_has_emoji,tags_count,title_tag_ratio,log_description_length,desc_links_count,desc_hashtags_count,desc_sentiment,desc_richness
--0zecPP2Kc,Non-Trending,4.583333333333333,2.833213344056216,Tuesday,2,1.7197859696029656,36,0.0,0,9,0.0,5.308267697401205,0.0,2.0,-0.1027,0.009950248756218905
--MFuyOvrdU,Non-Trending,4.4,1.6094379124341003,Tuesday,11,1.6863989535702288,99,0.0,0,23,0.0,7.833203948641057,13.0,5.0,0.1531,0.007137192704203013
--Xznxew7y4,Trending,3.3833333333333333,0.6931471805599453,Sunday,5,1.4778094699556639,94,0.25,0,18,0.0,7.978653729082731,1.0,0.0,0.8689,0.00034281796366129587
--YRoepb98U,Non-Trending,23.233333333333334,2.0794415416798357,Friday,11,3.187729095871364,80,0.7351,0,15,0.0,6.52795791762255,6.0,4.0,0.8779,0.014641288433382138
--ZhPAv_ijE,Non-Trending,34.7,0.6931471805599453,Thursday,9,3.5751506887855933,49,0.4588,1,33,0.0,5.1647859739235145,1.0,2.0,0.0,0.017241379310344827
--nTZ8MdhLY,Trending,2.75,2.1972245773362196,Thursday,10,1.3217558399823195,74,0.0,0,21,0.0,6.652863029353347,0.0,3.0,0.0,0.003875968992248062
--vAYj3M2VM,Non-Trending,2.9,0.6931471805599453,Friday,10,1.3609765531356006,74,0.0,0,27,0.0,7.837948916025283,4.0,3.0,0.0,0.0027624309392265192
-07Ng2y1KCo,Non-Trending,15.3,1.9459101490553132,Saturday,13,2.791165107812717,71,0.0,0,17,0.0,6.289715570908998,0.0,0.0,0.8316,0.0
-0A3_yTQWk4,Non-Trending,0.3,0.0,Thursday,6,0.26236426446749106,43,0.2732,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
-0BvpwHPGFA,Non-Trending,0.4166666666666667,2.833213344056216,Friday,15,0.3483066942682158,19,0.0,0,9,0.0,4.59511985013459,0.0,2.0,0.6188,0.02040816326530612
-0UGgU4EfKA,Non-Trending,32.083333333333336,1.9459101490553132,Monday,4,3.4990296308991904,88,-0.3818,1,3,0.0,6.872128101338986,2.0,17.0,0.7269,0.01970954356846473
-0fT8KNh01g,Non-Trending,13.15,1.3862943611198906,Sunday,11,2.649714624089247,96,0.9077,1,26,0.0,6.20050917404269,7.0,3.0,0.3612,0.02032520325203252
-0lBPmQDsKA,Trending,3.6166666666666667,2.3978952727983707,Monday,11,1.529672943965238,98,0.1531,0,13,0.0,6.393590753950631,4.0,3.0,0.7863,0.011725293132328308
